name,area,category,confidence,google_query,note
JDub's Brewing Company,Sarasota,bar,high,"JDub's Brewing Sarasota FL",Brewery near Ed Smith Stadium
Cask & Ale,Sarasota,bar,high,"Cask and Ale Sarasota FL",Downtown craft cocktails
Mandeville Beer Garden,Sarasota,bar,medium,"Mandeville Beer Garden Sarasota FL",Rosemary District beer garden
Oak & Stone,Sarasota,bar,medium,"Oak and Stone Sarasota FL",Beer + pizza; multiple locations
Darwin Brewing Co,Bradenton,bar,medium,"Darwin Brewing Bradenton FL",Brewery
Sarasota Brewing Company,Sarasota,bar,medium,"Sarasota Brewing Company Sarasota FL",Oldest local microbrewery; Gulf Gate
3 Keys Brewing,Bradenton,bar,medium,"3 Keys Brewing Bradenton FL",Brewery + biergarten
Brew Life Brewing,Sarasota,bar,medium,"Brew Life Brewing Sarasota FL",Small-batch; Clark Rd
3 Car Garage Brewing,Bradenton,bar,medium,"3 Car Garage Brewing Bradenton FL",Brewery; next to Loaded Cannon
Good Liquid Brewing,Sarasota,bar,medium,"Good Liquid Brewing Sarasota FL",Brewery
Sun King Sarasota,Sarasota,bar,medium,"Sun King Sarasota FL",Taproom; 12th St
3 Bridges Brewing,Venice,bar,medium,"3 Bridges Brewing Venice FL",Venice brewery
Off the Wagon Brewery,Venice,bar,medium,"Off the Wagon Brewery Kitchen Venice FL",Venice brewery + kitchen
Origin Craft Beer & Pizza,Sarasota,food,medium,"Origin Craft Beer Pizza Sarasota FL",Pizza + craft beer; 3 locations
Cock & Bull,Sarasota,food,medium,"Cock and Bull Gastropub Sarasota FL",Gastropub; pizza + 40 taps
3.14 Craft Beer & Spirits,Siesta Key,food,medium,"3.14 Craft Beer Spirits Siesta Key FL",Pizza + beer; Siesta Key
Evie's Tavern,Sarasota,bar,medium,"Evie's Tavern Grill Main Street Sarasota FL",Sports bar; Main St
Growler's Pub,Sarasota,bar,low,"Growler's Pub Sarasota FL",Beer bar
Loaded Cannon Distillery,Bradenton,bar,medium,"Loaded Cannon Distillery Bradenton FL",Distillery
Vin Cella,Sarasota,bar,medium,"Vin Cella Sarasota FL",Downtown wine tasting lounge
Siesta Key Wine Bar,Siesta Key,bar,medium,"Siesta Key Wine Bar FL",Wine bar near Siesta Key
Pigfish,Sarasota,food,medium,"Pigfish Sarasota FL",Restaurant at Calusa McIntosh
